Electoral district number ,Electoral district name,Political affiliation,Votes obtained ,% Votes obtained ,Full_name,Total_valid_votes,Rank,Winner,PPC_Vote
35086,Renfrew--Nipissing--Pembroke,Green Party,1111,1.9,Michael Lariviere,58518,5,Loser,4469
35086,Renfrew--Nipissing--Pembroke,Liberal,11335,19.4,Cyndi Mills,58518,3,Loser,4469
35086,Renfrew--Nipissing--Pembroke,NDP,12263,21,Jodie Primeau,58518,2,Loser,4469
35087,Richmond Hill,NDP,3995,8.7,Adam DeVita,45662,3,Loser,1363
35087,Richmond Hill,Independent,619,1.4,Charity DiPaola,45662,5,Loser,1363
35087,Richmond Hill,Liberal,21784,47.7,Majid Jowhari,45662,1,Winner,1363
35087,Richmond Hill,Independent,186,0.4,Angelika Keller,45662,6,Loser,1363
35087,Richmond Hill,Conservative,17715,38.8,Costas Menegakis,45662,2,Loser,1363
35087,Richmond Hill,PPC,1363,3,Igor Tvorogov,45662,4,Loser,1363
35088,Carleton,PPC,1728,2.4,Peter Crawley,70873,4,Loser,1728
35088,Carleton,Green Party,1327,1.9,Nira Dookeran,70873,5,Loser,1728
35088,Carleton,NDP,8164,11.5,Kevin Hua,70873,3,Loser,1728
35088,Carleton,Conservative,35356,49.9,Pierre Poilievre,70873,1,Winner,1728
35088,Carleton,Liberal,24298,34.3,Gustave Roy,70873,2,Loser,1728
35089,St. Catharines,Liberal,22069,37.8,Chris Bittle,58332,1,Winner,3860
35089,St. Catharines,PPC,3860,6.6,Rebecca Hahn,58332,4,Loser,3860
35089,St. Catharines,NDP,12294,21.1,Trecia McLennon,58332,3,Loser,3860
35089,St. Catharines,Green Party,1091,1.9,Catharine Rhodes,58332,5,Loser,3860
35089,St. Catharines,Conservative,19018,32.6,Krystina Waler,58332,2,Loser,3860
35090,Toronto--St. Paul's,Liberal,26429,49.2,Carolyn Bennett,53698,1,Winner,1432
35090,Toronto--St. Paul's,NDP,9036,16.8,Sidney Coles,53698,3,Loser,1432
35090,Toronto--St. Paul's,Green Party,3214,6,Phil De Luna,53698,4,Loser,1432
35090,Toronto--St. Paul's,Conservative,13587,25.3,Stephanie Osadchuk,53698,2,Loser,1432
35090,Toronto--St. Paul's,PPC,1432,2.7,Peter Remedios,53698,5,Loser,1432
35091,Sarnia--Lambton,Green Party,848,1.5,Stefanie Bunko,56899,5,Loser,6359
35091,Sarnia--Lambton,PPC,6359,11.2,Brian Everaert,56899,4,Loser,6359
35091,Sarnia--Lambton,Conservative,26292,46.2,Marilyn Gladu,56899,1,Winner,6359
35091,Sarnia--Lambton,NDP,11990,21.1,Adam Kilner,56899,2,Loser,6359
35091,Sarnia--Lambton,Christian Heritage Party,435,0.8,Tom Laird,56899,6,Loser,6359
35091,Sarnia--Lambton,Liberal,10975,19.3,Lois Nantais,56899,3,Loser,6359
35092,Sault Ste. Marie,PPC,1923,4.8,Kasper Makowski,40179,4,Loser,1923
35092,Sault Ste. Marie,NDP,8041,20,Marie Morin-Strom,40179,3,Loser,1923
35092,Sault Ste. Marie,Liberal,15231,37.9,Terry Sheehan,40179,1,Winner,1923
35092,Sault Ste. Marie,Conservative,14984,37.3,Sonny Spina,40179,2,Loser,1923
35093,Scarborough--Agincourt,Green Party,631,1.7,Arjun Balasingham,36630,5,Loser,978
35093,Scarborough--Agincourt,Conservative,10630,29,Mark Johnson,36630,2,Loser,978
35093,Scarborough--Agincourt,NDP,3679,10,Larisa Julius,36630,3,Loser,978
35093,Scarborough--Agincourt,PPC,978,2.7,Eric Muraven,36630,4,Loser,978
35093,Scarborough--Agincourt,Liberal,20712,56.5,Jean Yip,36630,1,Winner,978
35094,Scarborough Centre,NDP,5479,13.6,Faiz Kamal,40161,3,Loser,1472
35094,Scarborough Centre,National Citizens Alliance,263,0.7,Aylwin T Mathew,40161,5,Loser,1472
35094,Scarborough Centre,Conservative,9819,24.4,Malcolm Ponnayan,40161,2,Loser,1472
35094,Scarborough Centre,PPC,1472,3.7,Petru Rozoveanu,40161,4,Loser,1472
35094,Scarborough Centre,Liberal,23128,57.6,Salma Zahid,40161,1,Winner,1472
35095,Scarborough--Guildwood,PPC,1096,2.9,James Bountrogiannis,37550,4,Loser,1096
35095,Scarborough--Guildwood,Independent,155,0.4,Kevin Clarke,37550,5,Loser,1096
35095,Scarborough--Guildwood,Independent,85,0.2,Opa Day,37550,7,Loser,1096
35095,Scarborough--Guildwood,Centrist,129,0.3,Aslam Khan,37550,6,Loser,1096
35095,Scarborough--Guildwood,Liberal,22944,61.1,John McKay,37550,1,Winner,1096
35095,Scarborough--Guildwood,NDP,5091,13.6,Michelle Spencer,37550,3,Loser,1096
35095,Scarborough--Guildwood,Nationalist,52,0.1,Gus Stefanis,37550,8,Loser,1096
35095,Scarborough--Guildwood,Conservative,7998,21.3,Carmen Wilson,37550,2,Loser,1096
35096,Scarborough North,Liberal,21178,66.6,Shaun Chen,31815,1,Winner,763
35096,Scarborough North,Centrist,361,1.1,Sheraz Khan,31815,5,Loser,763
35096,Scarborough North,NDP,3514,11,Christina Love,31815,3,Loser,763
35096,Scarborough North,PPC,763,2.4,David Moore,31815,4,Loser,763
35096,Scarborough North,Conservative,5999,18.9,Fazal Shah,31815,2,Loser,763
35097,Scarborough--Rouge Park,Liberal,28702,62.8,Gary Anandasangaree,45720,1,Winner,1322
35097,Scarborough--Rouge Park,Conservative,9628,21.1,Zia Choudhary,45720,2,Loser,1322
35097,Scarborough--Rouge Park,NDP,6068,13.3,Kingsley Kwok,45720,3,Loser,1322
35097,Scarborough--Rouge Park,PPC,1322,2.9,Asad Rehman,45720,4,Loser,1322
35098,Scarborough Southwest,NDP,6924,16,Guled Arale,43172,3,Loser,1259
35098,Scarborough Southwest,Conservative,8981,20.8,Mohsin Bhuiyan,43172,2,Loser,1259
35098,Scarborough Southwest,Liberal,24823,57.5,Bill Blair,43172,1,Winner,1259
35098,Scarborough Southwest,Green Party,1068,2.5,Amanda Cain,43172,5,Loser,1259
35098,Scarborough Southwest,PPC,1259,2.9,Ramona Pache,43172,4,Loser,1259
35098,Scarborough Southwest,Independent,117,0.3,David Edward-Ooi Poon,43172,6,Loser,1259
35099,Simcoe--Grey,Green Party,2969,3.9,Nicholas Clayton,76610,5,Loser,5550
35099,Simcoe--Grey,Conservative,36249,47.3,Terry Dowdall,76610,1,Winner,5550
35099,Simcoe--Grey,NDP,10140,13.2,Lucas Gillies,76610,3,Loser,5550
35099,Simcoe--Grey,PPC,5550,7.2,Adam Minatel,76610,4,Loser,5550
35099,Simcoe--Grey,Liberal,21320,27.8,Bren Munro,76610,2,Loser,5550
35099,Simcoe--Grey,Christian Heritage Party,382,0.5,Ken Stouffer,76610,6,Loser,5550
35100,Simcoe North,Green Party,1903,3,Krystal Brooks,63608,5,Loser,4822
35100,Simcoe North,Conservative,27383,43,Adam Chambers,63608,1,Winner,4822
